Downregulated,Upregulated
ENSMUSG00000038637,ENSMUSG00000055093
ENSMUSG00000044469,ENSMUSG00000026313
ENSMUSG00000087141,ENSMUSG00000031422
ENSMUSG00000056091,ENSMUSG00000022858
ENSMUSG00000030972,ENSMUSG00000042821
ENSMUSG00000025347,ENSMUSG00000040322
ENSMUSG00000046329,ENSMUSG00000075266
ENSMUSG00000097639,ENSMUSG00000061983
ENSMUSG00000025902,ENSMUSG00000022247
ENSMUSG00000029070,ENSMUSG00000021427
ENSMUSG00000031216,ENSMUSG00000022285
ENSMUSG00000052921,ENSMUSG00000006095
ENSMUSG00000054555,ENSMUSG00000096458
ENSMUSG00000032549,ENSMUSG00000015126
ENSMUSG00000028860,ENSMUSG00000030722
ENSMUSG00000027253,ENSMUSG00000002845
ENSMUSG00000060371,ENSMUSG00000031075
ENSMUSG00000019878,ENSMUSG00000035378
ENSMUSG00000019831,ENSMUSG00000024792
ENSMUSG00000097974,ENSMUSG00000020326
ENSMUSG00000072082,ENSMUSG00000027889
ENSMUSG00000050390,ENSMUSG00000036995
ENSMUSG00000038777,ENSMUSG00000030232
ENSMUSG00000103735,ENSMUSG00000031387
ENSMUSG00000073198,ENSMUSG00000003746
ENSMUSG00000048200,ENSMUSG00000094622
ENSMUSG00000026447,ENSMUSG00000043284
ENSMUSG00000073236,ENSMUSG00000041477
ENSMUSG00000075420,ENSMUSG00000083027
ENSMUSG00000031489,ENSMUSG00000028232
ENSMUSG00000040350,ENSMUSG00000017291
ENSMUSG00000006445,ENSMUSG00000035992
ENSMUSG00000047793,ENSMUSG00000027954
ENSMUSG00000061578,ENSMUSG00000033554
ENSMUSG00000091721,ENSMUSG00000026037
ENSMUSG00000120175,ENSMUSG00000110657
ENSMUSG00000034584,ENSMUSG00000040124
ENSMUSG00000038967,ENSMUSG00000034361
ENSMUSG00000043496,ENSMUSG00000038525
ENSMUSG00000027227,ENSMUSG00000069769
ENSMUSG00000085972,ENSMUSG00000032557
ENSMUSG00000041147,ENSMUSG00000020982
ENSMUSG00000043789,ENSMUSG00000040006
ENSMUSG00000049676,ENSMUSG00000043572
ENSMUSG00000008398,ENSMUSG00000042249
ENSMUSG00000011382,ENSMUSG00000031393
ENSMUSG00000021097,ENSMUSG00000039208
ENSMUSG00000020715,ENSMUSG00000031103
ENSMUSG00000025576,ENSMUSG00000081087
ENSMUSG00000009772,ENSMUSG00000040302
ENSMUSG00000024413,ENSMUSG00000038546
ENSMUSG00000119959,ENSMUSG00000045427
ENSMUSG00000035112,ENSMUSG00000005103
ENSMUSG00000067813,ENSMUSG00000033326
ENSMUSG00000079003,ENSMUSG00000067038
ENSMUSG00000027318,ENSMUSG00000061689
ENSMUSG00000019718,ENSMUSG00000081603
ENSMUSG00000016128,ENSMUSG00000029407
ENSMUSG00000041044,ENSMUSG00000064289
ENSMUSG00000120139,ENSMUSG00000032966
ENSMUSG00000030409,ENSMUSG00000024493
ENSMUSG00000015854,ENSMUSG00000038141
ENSMUSG00000024169,ENSMUSG00000098923
