#1.2										
16672	9									
NAME	DESCRIPTION	S89	S88	S87	S84	S85	S83	S117	S116	S115
ENSMUSG00000001506	na	121.761	186.065	166.363	333.134	556.969	289.036	195.571	182.371	291.992
ENSMUSG00000001507	na	337.886	549.193	482.657	276.367	369.791	443.189	438.024	218.093	497.776
ENSMUSG00000001517	na	79.1447	69.0241	119.124	37.3469	59.3492	94.5936	53.5811	107.166	51.4462
ENSMUSG00000001518	na	1267.84	1487.02	1279.56	827.606	821.756	1117.6	900.162	1205.15	793.94
ENSMUSG00000001521	na	82.1887	127.545	75.9928	68.7182	82.1758	70.0693	84.3902	63.9237	63.9601
ENSMUSG00000001524	na	506.83	661.731	455.957	545.264	528.055	360.857	563.94	415.504	570.078
ENSMUSG00000001525	na	4768.44	6782.38	1456.19	2659.09	2500.27	2599.57	2642.88	2357.66	2686.32
ENSMUSG00000001542	na	20008	11446	16570.4	6322.04	7809.72	15909.5	6398.87	18032	4891.54
ENSMUSG00000001552	na	1907.08	1755.6	2485.15	2542.58	2807.69	3932.61	4093.61	2709.24	3199.41
ENSMUSG00000001555	na	36.5283	78.0273	22.5924	31.3714	42.6097	49.0485	68.3159	39.4823	47.2749
ENSMUSG00000001569	na	1786.84	1481.02	1969.65	1501.34	1686.12	1939.17	1723.97	1906.43	1366.8
ENSMUSG00000001576	na	1993.83	1908.68	3542.88	4090.24	4155.94	4291.68	3788.14	2953.67	3919.62
ENSMUSG00000001588	na	54.7925	126.044	75.9928	74.6937	101.959	80.5797	163.422	94.0054	182.147
ENSMUSG00000001604	na	347.018	283.599	780.466	1290.71	1054.59	1709.69	1027.42	686.24	1245.83
ENSMUSG00000001627	na	5550.8	2708.45	4604.74	1112.94	1506.55	4025.49	1441.33	5089.49	963.573
ENSMUSG00000001630	na	1536.19	964.627	1400.12	1114.77	1388.36	1541.53	1675.25	1225.47	1548.3
ENSMUSG00000001632	na	2170.4	2394.84	2251.03	1413.21	1804.82	2554.02	2176.73	3220.63	1202.73
ENSMUSG00000001642	na	177.842	393.492	248.775	226.146	280.066	283.323	177.146	140.625	245.114
ENSMUSG00000001663	na	7331.59	7694.82	4902.59	8522.62	6167.79	7679.43	11021.4	11807.2	14244.8
ENSMUSG00000001665	na	3248.27	2745.96	1402.78	1897.22	836.975	3715.2	3630.11	4937.57	8003.59
ENSMUSG00000001666	na	7507.6	7243.13	8841.84	13359.6	11162	15137.5	11556.6	9216.09	14526.1
ENSMUSG00000001670	na	417118	280789	435816	60805.6	116784	529645	102228	464697	90179.9
ENSMUSG00000001672	na	27.3962	244.585	63.6696	91.1264	95.8717	33.2829	119.218	18.8011	93.1593
ENSMUSG00000001674	na	1368.9	1372.51	1143.48	1098.96	1000.15	1034	909.783	1650.65	727.811
ENSMUSG00000001687	na	4838.45	3595.22	3968.02	4134.97	4292.96	4512.4	5359.37	4493.5	4630.17
