#1.2							
20399	6						
Name	Description	S39	S3	S2	S35	S37	S33
ENSMUSG00000002020	na	2904.71	3546.95	2091.52	3691.76	2852.65	2255.65
ENSMUSG00000002028	na	4277.23	4607.32	4013.27	5180.94	4770.77	4154.71
ENSMUSG00000002031	na	1180.65	1169.37	1378.11	1141.15	1278.34	1341.4
ENSMUSG00000002032	na	49.3345	73.4386	89.8342	69.9698	87.3443	324.586
ENSMUSG00000002033	na	104.751	91.1931	136.704	122.129	143.543	114.801
ENSMUSG00000002043	na	434.548	338.141	487.579	324.406	406.252	440.754
ENSMUSG00000002052	na	3127	3282.14	2428.12	3945.01	2832.93	2690.97
ENSMUSG00000002055	na	64.8782	93.6141	117.175	82.6917	119.167	86.7842
ENSMUSG00000002058	na	531.865	506.808	673.109	489.152	509.171	507.037
ENSMUSG00000002059	na	698.793	723.896	786.374	743.587	780.683	877.41
ENSMUSG00000002064	na	1567.88	1309	2017.35	1349.78	1396.15	1567.6
ENSMUSG00000002068	na	31.7633	23.4035	58.5876	31.1684	23.021	47.8338
ENSMUSG00000002076	na	11.4889	10.4912	14.3214	6.99699	22.3439	22.5502
ENSMUSG00000002083	na	729.203	630.279	635.999	524.776	595.837	650.542
ENSMUSG00000002100	na	65.5541	919.998	16.9253	319.953	270.158	260.353
ENSMUSG00000002102	na	3602.83	3140.08	3245.72	3067.21	2981.23	3248.61
ENSMUSG00000002103	na	1784.82	1835.96	2032.35	1839.57	1738.09	1668.02
ENSMUSG00000002104	na	26.3568	36.3158	25.3879	24.1714	30.469	49.2005
ENSMUSG00000002105	na	1663.18	1533.35	1695.13	1246.09	1597.93	1665.99
ENSMUSG00000002107	na	6001.91	5674.95	7666.12	5348.84	4982.8	5008.98
ENSMUSG00000002108	na	1326.62	1207.31	1554.53	1390.49	1280.37	1253.24
ENSMUSG00000002109	na	576.469	653.684	683.522	582.659	714.328	767.392
ENSMUSG00000002111	na	1261.05	854.632	897.045	1263.9	899.854	535.738
ENSMUSG00000002129	na	1620.6	1658.42	1456.23	1797.59	1388.71	1505.4
