#1.2										
20399	9									
Name	Description	S41	S40	S5	S1	S6	S7	S34	S36	S38
ENSMUSG00000001508	na	12.938	12.8461	60.8597	5.85912	11.0195	22.7753	23.0369	49.3247	34.2756
ENSMUSG00000001517	na	166.254	467.454	391.899	199.957	244.004	330.241	154.247	262.519	258.337
ENSMUSG00000001518	na	560.864	620.895	693.433	743.27	514.768	686.761	912.463	699.65	602.363
ENSMUSG00000001521	na	1192.89	870.678	981.132	939.133	1129.5	1211.47	1822.92	1104.11	1216.15
ENSMUSG00000001524	na	301.456	234.084	217.619	205.069	251.875	211.109	212.34	182.881	212.636
ENSMUSG00000001525	na	5738.07	7266.54	6569.09	4673.06	8157.54	6574.1	3559.7	4569.77	5980.55
ENSMUSG00000001542	na	1455.53	2562.07	2863.16	1518.34	1257.01	3039.62	2669.27	2894.22	2422.78
ENSMUSG00000001552	na	9258.77	4320.64	3914.33	3618.46	11255.3	2736.5	3913.19	4353.38	4311.98
ENSMUSG00000001555	na	578.978	493.861	346.716	606.839	640.707	404.699	502.805	594.173	548.411
ENSMUSG00000001569	na	1095.85	1530.82	1447.72	1869.06	1223.17	1452.36	1591.55	1620.89	1645.86
ENSMUSG00000001576	na	1366.9	2250.21	2117.15	1648.91	2056.71	1896.48	1657.65	1688.42	1612.21
ENSMUSG00000001583	na	546.633	642.3	569.869	804.373	386.47	701.655	1109.78	730.007	596.653
ENSMUSG00000001588	na	392.668	628.03	600.298	201.721	415.594	393.311	193.309	492.488	493.823
ENSMUSG00000001604	na	368.087	164.858	221.308	511.418	225.9	187.458	536.859	303.536	245.007
ENSMUSG00000001627	na	7203.34	7827.42	8000.23	10333.2	4997.27	10571.4	12558.1	9730.38	9973.18
ENSMUSG00000001630	na	761.074	758.394	784.234	882.509	722.931	767.717	840.963	715.909	774.163
ENSMUSG00000001632	na	2500.24	4005.85	3651.58	2625.73	2473.1	2368.62	2813.5	3178.03	2681.74
